repair_id,severity,repair_name,employee_id
c72aeef9-73ae-40f3-92e4-3e754427e041,0.531120722,Transformer Oil Leak Repair,
afb77015-719c-4100-af6c-2db839b56c32,0.286137205,Transformer Oil Leak Repair,
a4e18308-af32-40e8-ad18-b18f2005bc50,0.494430637,Transformer Oil Leak Repair,
390a4bc3-6b9a-4b41-bbfe-43a1a7dd6143,0.455370774,Transformer Oil Leak Repair,
202a68e5-8bd3-4d2c-850a-278b809979f9,0.879239963,Transformer Oil Leak Repair,
9ddf4430-d3a8-418a-8b1d-b0bee66d50ff,0.364463268,Transformer Oil Leak Repair,
11fab03e-8c96-44c7-80ad-124c280e82d9,0.450196824,Transformer Oil Leak Repair,
0f881531-643c-4cda-92e3-f47f6c97b907,0.419972663,Transformer Oil Leak Repair,
939a84c1-9534-4b06-bebc-e588dee1ec17,0.705158787,Transformer Oil Leak Repair,
e18453c6-83b0-4699-8a02-cea34e2046e3,0.015088146,Transformer Oil Leak Repair,
e67f0b18-98bf-4c15-8295-127740e991bf,0.560383225,Transformer Oil Leak Repair,
c7ff7df0-ccc7-4dcd-b311-177b2a8f5478,0.260988461,Transformer Oil Leak Repair,
953911a3-9572-436f-8232-f178db2de1cc,0.206677832,Transformer Oil Leak Repair,
68dfde2f-b3d5-45c6-938b-46ce5d4ff5dd,0.154793357,Transformer Oil Leak Repair,
358170b0-7d44-4857-9ad5-8420785f37b6,0.852264218,Transformer Oil Leak Repair,
085c279d-9113-462b-a34f-4164862c8b4b,0.091261354,Transformer Oil Leak Repair,
3425f499-af05-4428-bac5-cb1d66dc46cb,0.779706963,Transformer Oil Leak Repair,
1dfd7cf5-fbad-476c-aaab-f96a3c83c820,0.482773057,Transformer Oil Leak Repair,
b2692fde-40e6-414c-b609-ce283cfa5b03,0.133485926,Transformer Oil Leak Repair,
2749a18d-6eb6-4f4f-8f15-fa9e43a86d47,0.459303282,Transformer Oil Leak Repair,
96a1487a-a4ae-4bbf-b29e-bd8c22a78381,0.729424122,Transformer Oil Leak Repair,
1d49f311-bc91-4c9e-8e8d-1d52e39e1f33,0.425186371,Transformer Oil Leak Repair,
5a4ce768-2575-4d43-a8f8-bc7a67f787d6,0.095183696,Transformer Oil Leak Repair,
97ff00e0-9f4a-4870-9707-3a886b06124b,0.530743879,Transformer Oil Leak Repair,
0a3dbc45-a752-48fc-b9ca-680e1e721ba3,0.424513094,Transformer Oil Leak Repair,
5e8774ec-468f-4bc6-87a8-9fe7b3787d92,0.641018989,Transformer Oil Leak Repair,
12f9775f-69d7-4f22-b982-05c476bb9192,0.935334824,Transformer Oil Leak Repair,
5c9e1135-0ff5-4e21-adfc-b01f90a91ec1,0.628422037,Transformer Oil Leak Repair,
51d0205c-56e7-43f2-b624-2c6c84b7e95d,0.047063477,Transformer Oil Leak Repair,
d0b7fde1-9ce3-4a85-8c87-acd6b363da69,0.908540874,Transformer Oil Leak Repair,
7146d646-c48c-4d4b-85e3-a6e830ac6125,0.499196392,Transformer Oil Leak Repair,
e35da0f1-5557-452c-84fc-60bc6041a78d,0.433077387,Transformer Oil Leak Repair,
ab3515c7-908c-4f32-9328-00687a418656,0.825008686,Transformer Oil Leak Repair,
a846185e-0325-4f26-b717-682cdbd35fa6,0.780356002,Transformer Oil Leak Repair,
54dcce71-fcdb-4ff8-a9ec-12bb36d1a7f0,0.585810472,Transformer Oil Leak Repair,
3c6c679d-31f5-4722-b879-1d263c461764,0.857113172,Transformer Oil Leak Repair,
2b02e51b-8c4c-49e6-a860-dfeef7e4dd28,0.265413627,Transformer Oil Leak Repair,
